30063;1137;Praha 2-Nové Mìsto, Vy_ehradská 2005/8
30064;1137;Praha 2-Nové Mìsto, Vy_ehradská 2005/8
30065;1137;Praha 2-Nové Mìsto, Vy_ehradská 2005/8
30066;1144;Praha 4-Nusle, Èestmírova 1358/25
30067;1144;Praha 4-Nusle, Èestmírova 1358/25
30068;1144;Praha 4-Nusle, Èestmírova 1358/25
30069;1144;Praha 4-Nusle, Èestmírova 1358/25 (10588)
30070;1144;Praha 4-Nusle, Èestmírova 1358/25 (10588)
30071;1144;Praha 4-Nusle, Èestmírova 1358/25 (10588)
30072;1145;Praha 4-Michle, Ohradní 1335/5, panelák
30073;1145;Praha 4-Michle, Ohradní 1335/5, panelák
30074;1145;Praha 4-Michle, Ohradní 1335/5, panelák (10588)
30075;1145;Praha 4-Michle, Ohradní 1335/5, panelák (10588)
30076;1144;Praha 4-Michle, U Plynárny 500/42, Pra_ská Plynárenská
30077;1144;Praha 4-Michle, U Plynárny 500/42, Pra_ská Plynárenská
30078;1144;Praha 4-Michle, U Plynárny 500/42, Pra_ská Plynárenská
30079;1145;Praha 4-Michle, Vyskoèilova 1410/1, BB Centrum
30080;1145;Praha 4-Michle, Vyskoèilova 1410/1, BB Centrum
30081;1145;Praha 4-Michle, Vyskoèilova 1410/1, BB Centrum, indoor
30082;1137;Praha 4-Nusle, Na Buèance 1622/4
30083;1137;Praha 4-Nusle, Na Buèance 1622/4 (10588)
30084;1145;Praha 4-Nusle, Nad Studánkou 1104/13
30085;1145;Praha 4-Nusle, Nad Studánkou 1104/13
30086;1145;Praha 4-Nusle, Nad Studánkou 1104/13 (10588)
30087;1145;Praha 4-Nusle, Nad Studánkou 1104/13 (10588)
30088;1144;Praha 4-Nusle, Pod Sokolovnou 705/3
30089;1144;Praha 4-Nusle, Pod Sokolovnou 705/3
30090;1154;Praha 4-Podolí, Podolské nábø. 250/14
30091;1154;Praha 4-Podolí, Podolské nábø. 250/14
30092;1154;Praha 4-Podolí, Podolské nábø. 250/14 (10588)
30093;1154;Praha 4-Podolí, Podolské nábø. 250/14 (10588)
30094;1144;Praha 10-Vr_ovice, Vr_ovická 896/32
30095;1144;Praha 10-Vr_ovice, Vr_ovická 896/32
30096;1144;Praha 10-Vr_ovice, Vr_ovická 896/32
30097;1144;Praha 10-Vr_ovice, Vr_ovická 896/32 (10588)
30098;1144;Praha 10-Vr_ovice, Vr_ovická 896/32 (10588)
30099;1144;Praha 10-Vr_ovice, Vr_ovická 896/32 (10588)
30100;1145;Praha 4-Podolí, Ve svahu 1067/33 x Sinkulova
30101;1145;Praha 4-Podolí, Ve svahu 1067/33 x Sinkulova
30102;1137;Praha 4-Nusle, 5. kvìtna 200/51, Støední a vy__í zdravotnická _kola
30103;1137;Praha 4-Nusle, 5. kvìtna 200/51, Støední a vy__í zdravotnická _kola
30104;1137;Praha 4-Nusle, 5. kvìtna 200/51, Støední a vy__í zdravotnická _kola
30105;1137;Praha 4-Nusle, 5. kvìtna 200/51, Støední a vy__í zdravotnická _kola (10588)
30106;1137;Praha 4-Nusle, 5. kvìtna 200/51, Støední a vy__í zdravotnická _kola (10588)
30107;1137;Praha 4-Nusle, 5. kvìtna 200/51, Støední a vy__í zdravotnická _kola (10588)
30108;1153;Praha 5-Smíchov, Nádra_ní 520/68
30109;1153;Praha 5-Smíchov, Nádra_ní 520/68
30110;1153;Praha 5-Smíchov, Nádra_ní 520/68
30111;1137;Praha 2-Vy_ehrad, _tulcova 89/4, Nové probo_tství (JV)
30112;1137;Praha 2-Nové Mìsto, Vy_ehradská 1711/20 x Benátská 1
30113;1137;Praha 2-Nové Mìsto, Vy_ehradská 1711/20 x Benátská 1
30114;1137;Praha 2-Nové Mìsto, Vy_ehradská 1711/20 x Benátská 1
30115;1137;Praha 2-Nové Mìsto, Vy_ehradská 1711/20 x Benátská 1 (10588)
30116;1137;Praha 2-Nové Mìsto, Vy_ehradská 1711/20 x Benátská 1 (10588)
30117;1137;Praha 2-Nové Mìsto, Vy_ehradská 1711/20 x Benátská 1 (10588)
30118;1138;Praha 2-Vinohrady, _milovského 1437/8
30119;1137;Praha 2-Nové Mìsto, Bo_eny Nìmcové 1881/5, nad Nuselsk_m mostem
30120;1137;Praha 2-Nové Mìsto, Bo_eny Nìmcové 1881/5, nad Nuselsk_m mostem
30121;1137;Praha 2-Nové Mìsto, Bo_eny Nìmcové 1881/5, nad Nuselsk_m mostem (10588)
30122;1137;Praha 2-Nové Mìsto, Bo_eny Nìmcové 1881/5, nad Nuselsk_m mostem (10588)
30123;1138;Praha 2-Vinohrady, Var_avská 516/19
30124;1138;Praha 2-Vinohrady, Var_avská 516/19
30125;1137;Praha 2-Nusle, Ostrèilovo nám. 462/4, Hotel Union
30126;1137;Praha 2-Nusle, Ostrèilovo nám. 462/4, Hotel Union
30127;1137;Praha 2-Nusle, Ostrèilovo nám. 462/4, Hotel Union
30128;1137;Praha 2-Nové Mìsto, Podskalská 1290/19, OÚ Praha západ
30129;1137;Praha 2-Nové Mìsto, Podskalská 1290/19, OÚ Praha západ
30130;1137;Praha 2-Nové Mìsto, Podskalská 1290/19, OÚ Praha západ
30131;1137;Praha 2-Nové Mìsto, Vinièná 1965/5, Fakulta UK
30132;1137;Praha 2-Nové Mìsto, Vinièná 1965/5, Fakulta UK
30133;1136;Praha 1-Staré Mìsto, Eli_ky Krásnohorské 44/16
30134;1136;Praha 1-Staré Mìsto, Eli_ky Krásnohorské 44/16
30135;1136;Praha 1-Staré Mìsto, Eli_ky Krásnohorské 44/16
30136;1137;Praha 2-Nové Mìsto, Na Boji_ti 1452/5, centrální dispeèink DP
30137;1137;Praha 2-Nové Mìsto, Na Boji_ti 1452/5, centrální dispeèink DP
30138;1137;Praha 2-Nové Mìsto, Na Boji_ti 1452/5, centrální dispeèink DP (10588)
30139;1137;Praha 2-Nové Mìsto, Na Boji_ti 1452/5, centrální dispeèink DP (10588)
30140;1136;Praha 1-Hradèany, Gogolova 226/4, vilka
30141;1138;Praha 1-Nové Mìsto, Krakovská 804/26, Dùm Módy
30142;1138;Praha 1-Nové Mìsto, Krakovská 804/26, Dùm Módy
30143;1136;Praha 1-Malá Strana, Dra_ického nám. 65/10
30144;1136;Praha 1-Malá Strana, Dra_ického nám. 65/10
30145;1136;Praha 1-Malá Strana, Dra_ického nám. 65/10
30146;1153;Praha 5-Smíchov, Na Bìlidle 198/21
30147;1153;Praha 5-Smíchov, Na Bìlidle 198/21
30148;1153;Praha 5-Smíchov, Na Bìlidle 198/21
30149;1136;Praha 1-Malá Strana, Lázeòská 286/6
30150;1136;Praha 1-Malá Strana, Lázeòská 286/6
30151;1136;Praha 1-Malá Strana, Lázeòská 286/6
30152;1145;Praha 4-Nusle, Na Pankráci 86, Arkády Pankrác, indoor
30153;1145;Praha 4-Krè, Bystøická 1709/9, po_ta
30154;1145;Praha 4-Krè, Bystøická 1709/9, po_ta
30155;1145;Praha 4-Krè, Bystøická 1709/9, po_ta
30156;1145;Praha 4-Krè, Bystøická 1709/9, po_ta (10588)
30157;1145;Praha 4-Krè, Bystøická 1709/9, po_ta (10588)
30158;1145;Praha 4-Krè, Bystøická 1709/9, po_ta (10588)
30159;1136;Praha 1-Hradèany, Hradèanské nám. 56/16, Arcibiskupsk_ palác, +30176-7
30160;1136;Praha 1-Hradèany, Hradèanské nám. 56/16, Arcibiskupsk_ palác, +30176-7 (10588)
30161;1136;Praha 1-Nové Mìsto, Václavské námìstí 831/21, OD Krone
30162;1136;Praha 1-Nové Mìsto, Václavské námìstí 831/21, OD Krone
